full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,72738,72738,11803,90,90,19,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9586,9586,14675,0,0,2,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,43005,43005,7046,95,95,26,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1704,1704,2569,3,3,2,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,51319,51319,4465,50,50,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,63738,63738,6344,25,25,3,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,36285,36285,3037,11,11,3,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,30002,30002,3282,11,11,6,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,929,929,1220,0,0,-1,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,23498,23498,3370,13,13,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23868,23868,2770,24,24,2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3274,3274,3822,1,1,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2325,2325,3536,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8508,8508,2013,5,5,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,12105,12105,2021,10,10,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3682,3682,2009,7,7,4,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9972,9972,1225,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1439,1439,2834,4,4,3,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,9486,9486,749,9,9,1,https://github.com/ykdojo/claude-code-tips
frankbria/ralph-claude-code,9568,9568,728,1,1,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2775,2775,2439,1,1,2,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,790,790,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4028,4028,802,3,3,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,6008,6008,565,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,14037,14037,1250,30,30,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
